ID,Original_FR,Conflict,Agent Conflict,Event Conflict,Input Conflict,Operation Conflict,Output Conflict,Restriction Conflict,No conflict
596,"In this case, user can add the items he/she likes to his cart by touching ??®¶a????°„Add to the cart??®¶a???? button.","If the user selects the item quantity, the system shall require the user to enter the desired quantity using the physical keyboard before the ""Add to the cart"" button becomes active.",0,0,1,0,0,0,0
597,"In this case, user can add the items he/she likes to his cart by touching a Add to the cart a button.",The system shall allow only users who have been authenticated as registered customers and have a valid payment method on file to add items to the cart.,1,0,0,0,0,0,0
598,"In this case, user can add the items he/she likes to his cart by touching a Add to the cart a button.",The system must prevent users from adding more than five distinct items to their cart during a single browsing session.,0,0,0,0,0,1,0
599,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.","Users with corporate purchasing cards may only buy credits once per day, subsequent purchases blocked.",1,0,0,0,0,1,0
600,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.",The system shall only allow users who have been issued a corporate purchasing card by the finance department to buy credits.,1,0,0,0,0,1,0
601,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.",The system must restrict users from using their PayPal account for credit purchases more than once per calendar month.,0,0,0,0,0,1,0
602,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.",If the user's credit card payment fails or the PayPal transaction is declined then the system shall recognize this condition as the payment method being invalid.,0,1,0,0,0,0,0
603,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.","If the user selects the credit card payment method, the system shall require the user to enter the cardholder name, card number, expiration date, and CVV code.",0,0,1,0,0,0,0
604,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.","If the credit purchase option is selected, the system shall require the user to input their PayPal account credentials for payment verification and processing.",0,0,1,0,0,0,0
605,"In this case, user can buy credits from the system. He/she can use credit card or his/her PayPal account.","When the user initiates a credit purchase transaction using a credit card, the system shall display the transaction status in green.",0,0,0,0,0,0,1
606,"In this case, user can change his/her username, email address, profile picture and password. If the user changes his/her username or password, a notification mail will be sent to the user email address. The changes will apply if the user clicks on the link in the email.","The user profile modification system must allow users to change their username, email address, or password only once per calendar month.",0,0,0,0,0,1,0
607,"In this case, user can change his/her username, email address, profile picture and password. If the user changes his/her username or password, a notification mail will be sent to the user??®¶a??a??®¶s email address. The changes will apply if the user clicks on the link in the email.","When the user changes his/her username or password, the OPENCOSS platform shall display a green confirmation message on the screen immediately.",0,0,0,0,1,0,0
608,"In this case, user can change his/her username, email address, profile picture and password. If the user changes his/her username or password, a notification mail will be sent to the user's email address. The changes will apply if the user clicks on the link in the email.","If the user changes his/her username or password, the changes shall be applied immediately without requiring further confirmation.",0,1,0,0,0,0,0
609,"In this case, user enters his/her username or email and his/her password and logs in the system.","If the user attempts to log in, the THEMAS system shall require entry of a one-time code sent via SMS to the registered mobile number, in addition to the username and password.",0,0,1,0,0,0,0
610,"In this case, user enters his/her username or email and his/her password and logs in the system.","If the user enters an incorrect username, email, or password during the login process, the system shall display the login error message in red.",0,0,0,0,0,0,1
611,"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account.","When a user successfully completes the registration form, the system shall display the user's new account status as ""Active"" on the confirmation screen.",0,0,0,0,1,0,0
612,"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account.",The user registration system must allow the user to set a profile photo only after the account has been successfully activated.,0,0,0,0,0,1,0
613,"In this case, user enters his/her username, name, surname, password, mail address sets a profile photo. When the user fills all necessary fields, an activation mail will be sent to users mail address. User will be able to log in and start using the system just after activating his/her account.","If the user has not filled all necessary fields or has not set a profile photo, then the system shall recognize this condition as registration is incomplete and shall send the activation mail.",0,1,0,0,0,0,0
614,"In this case, user is able browse items. User can see the items ?°ß| pictures, prices, and other features.","When the price of an item exceeds the user's pre-set budget limit, the system shall display such an item in grey.",0,0,0,0,1,0,0
615,"In this case, user is able browse items. User can see the items ?°ß| pictures, prices, and other features.","The system shall restrict item browsing to users who possess a valid SHOPPER or BUYER key, granting them exclusive access to view item details.",1,0,0,0,0,0,0
616,"In this case, user is able browse items. User can see the items??®¶a??a??®¶ pictures, prices, and other features.","When the status of an item in the user's browsing session is ""out of stock"", the system shall display such an item in grayscale.",0,0,0,0,1,0,0
617,"In this case, user is able to browse categories according to his/her wishes. User can also see how many items each category has.","When the number of items in a category is zero, the system shall hide such a category from the user's view.",0,0,0,0,1,0,0
618,"In this case, user is able to browse categories according to his/her wishes. User can also see how many items each category has.","If the category browsing function is selected, the system shall require the user to specify a category ID as input before any browsing or item count display can occur.",0,0,1,0,0,0,0
619,"In this case, user is able to browse the profiles other users. User can see the other users user names, profile photos, and the users??®¶a??a??®¶ items.","When a user's profile is set to ""private"", the system shall hide the user's profile photo and listed items from other users.",0,0,0,0,1,0,0
620,"In this case, user is able to search items. User can search items according to their price, their location, their category.","When the user initiates a search for items by price, location, or category, the system shall display the search results in a monochrome greyscale theme.",0,0,0,0,1,0,0
621,"In this case, user is able to search items. User can search items according to their price, their location, their category.","If the item search is initiated, the system shall require the user to specify a search term and shall not perform a search based on price, location, or category alone.",0,0,1,0,0,0,0
622,"In this case, user is able to search items. User can search items according to their price, their location, their category.","If the item catalog is accessed, the system shall load the entire product inventory, sort the items alphabetically by product name, and display the complete list.",0,0,1,0,0,0,0
623,"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again.","When the user has logged out of the system, the OPENCOSS platform shall continue to display real-time safety notifications.",0,0,0,0,1,0,0
624,"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again.","The system shall allow any user with an active session token, regardless of authentication status, to view and modify their own sensitive account settings.",1,0,0,0,0,0,0
625,"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again.",The system must allow the user to view and modify their personal profile information only after they have logged out.,0,0,0,0,0,1,0
626,"In this case, user touches log out button, and logs out of the system. The user will not use the system until he/she logs in again.","If the user has been inactive for more than T seconds, then the system shall automatically log the user out and terminate the session.",0,1,0,0,0,0,0
627,Information recorded must include an optional field for context.,The system must prevent users from modifying the optional field for context after the initial entry.,0,0,0,0,0,1,0
628,Information recorded must include an optional field for context.,"If the operational history report is selected, the THEMAS system shall create the ASCII report file exclusively from events tagged with the 'critical' priority flag.",0,0,1,0,0,0,0
629,Information should be tagged according to who is entering the data.,"The system shall automatically assign a ""System Administrator"" tag to all data entries, regardless of the user who created them.",1,0,0,0,0,0,0
630,Information should be tagged according to who is entering the data.,The system must prevent data tag modifications after the initial data entry is completed.,0,0,0,0,0,1,0
631,Internet Connection DESC: The application should be connected to the Internet.,"When the application is not connected to the Internet, the application shall display a green ""Ready"" status indicator.",0,0,0,0,1,0,0
632,It is a card issuer???s decision to determine the currencies that are allowed to occupy slots in the CEP card. This decision is made by the card issuer during the load or currency exchange transaction by approving or rejecting the request to authorize the transaction,The card issuer's decision to allow or reject a currency for a CEP card slot is made during the pre-issuance card configuration process.,0,1,0,0,0,0,0
633,It is a card issuer's decision to determine the currencies that are allowed to occupy slots in the CEP card. This decision is made by the card issuer during the load or currency exchange transaction by approving or rejecting the request to authorize the transaction,The system shall allow any cardholder to add or remove currencies from the CEP card slots at their discretion during any transaction.,1,0,0,0,0,0,0
634,It is possible to ??®¶a????°„like??®¶a???? a certain news item.,"The system shall determine a user's ""like"" of a news item exclusively through an explicit 5-star rating input, rejecting all other forms of interaction such as button clicks or gesture-based inputs.",0,0,1,0,0,0,0
635,It is possible to ??®¶a????°„like??®¶a???? a certain topic.,"When a user expresses a ""like"" for a certain topic, the system shall display the like status in grey.",0,0,0,0,1,0,0
636,It is possible to ??®¶a????°„like??®¶a???? a certain topic.,It is possible to "like" a certain topic only by entering its unique 8-digit alphanumeric topic code.,0,0,1,0,0,0,0
637,It is possible to ??®¶a????°„like??®¶a???? insApption from within the main menu.,"When a user selects the ""like"" option from within the main menu, the insApption platform shall not provide any visual or textual confirmation of the action.",0,0,0,0,1,0,0
638,It is possible to ??®¶a????°„tweet??®¶a???? a certain event.,"When a user attempts to ??®¶a????°„tweet??®¶a???? a certain event, the system shall display the tweet confirmation message in a grey font.",0,0,0,0,1,0,0
639,It is possible to ??®¶a????°„tweet??®¶a???? a certain news item.,"When a user attempts to tweet a certain news item, the system shall display the message ""Tweet Failed"" in green.",0,0,0,0,1,0,0
640,It is possible to ??®¶a????°„tweet??®¶a???? insApption from within the main menu.,"When the user attempts to tweet an insApption from within the main menu, the system shall display the tweet in a light grey colour to indicate it is a draft.",0,0,0,0,1,0,0
641,It is possible to ??®¶a????°„tweet??®¶a???? the user??®¶a??a??®¶s current location.,"If the user's current location is to be shared, the system shall require the user to manually enter their full street address, city, and postal code.",0,0,1,0,0,0,0
642,It is possible to change the status on Facebook. The new status will indicate the user current location.,"If the location-sharing feature is enabled, the system shall use the device's GPS coordinates to automatically detect and update the user's location in their status.",0,0,1,0,0,0,0
643,It is possible to change the status on Facebook. The new status will indicate the user??®¶a??a??®¶s current location.,"When a user's Facebook status is set to indicate their current location, the Facebook platform shall display the status update in grey.",0,0,0,0,1,0,0
644,It is possible to navigate from a building on the campus to a POI on the campus.,It is possible to navigate from a building on the campus to a POI on the campus only via pre-defined pedestrian pathways.,0,0,0,0,0,1,0
645,It is possible to navigate from a building on the campus to a POI on the campus.,"If the campus navigation request is initiated, the system shall use only the building name and the destination POI category to determine the route, ignoring any user-provided POI name.",0,0,1,0,0,0,0
646,It is possible to navigate from a building on the campus to a POI on the campus.,"When the user selects a building on the campus, the system shall display the route from that building to a POI in red.",0,0,0,0,0,0,1
647,It is possible to navigate from a building on the campus to another building on the campus.,The system shall permit only campus security personnel with active Level-2 clearance to enable navigation between campus buildings.,1,0,0,0,0,1,0
648,It is possible to navigate from a building on the campus to another building on the campus.,"Navigation between buildings shall be enabled only for 10 seconds per session, even for Level-2 security personnel.",1,0,0,0,0,1,0
649,It is possible to navigate from a building on the campus to another building on the campus.,"It is possible to navigate from a building on the campus to another building on the campus, provided the user's current location is first manually entered via a text-based coordinate system.",0,0,1,0,0,0,0
650,It is possible to navigate from a building on the campus to another building on the campus.,"When the status of a campus navigation route between two buildings is ""available"", the campus navigation system shall colour such a route in red.",0,0,0,0,0,0,1
651,It is possible to navigate from a POI on the campus to a building on the campus.,"When the status of a building on the campus is ""open"", the navigation system shall display such a building in grey.",0,0,0,0,1,0,0
652,It is possible to navigate from a POI on the campus to a building on the campus.,"If the campus navigation request is initiated, the system shall require the user to specify a building name as the origin and shall not accept a POI as a valid starting point.",0,0,1,0,0,0,0
653,It is possible to navigate from a POI on the campus to a POI on the campus.,"When the user requests directions between two POIs, the system shall only accept building names as valid input and ignore all other POI types.",0,0,1,0,0,0,0
654,It is possible to navigate from a POI on the campus to a POI on the campus.,"It is possible to navigate from a POI on the campus to a POI on the campus, but only if the user manually enters the GPS coordinates for both the start and end points.",0,0,1,0,0,1,0
655,It is possible to navigate from a POI on the campus to a POI on the campus.,It is possible to navigate from a POI on the campus to a POI on the campus only if both POIs are located within the same building.,0,0,0,0,0,1,0
656,It is possible to navigate from a POI on the campus to a POI on the campus.,"When the user attempts to navigate from one campus POI to another, the system shall display the route in a single, non-changeable colour.",0,0,0,0,0,0,1
657,It is possible to navigate from a street on the campus to another location on the campus.,The campus navigation system must restrict users from modifying the selected route between two campus locations only once.,0,0,0,0,0,1,0
658,It is possible to navigate from a street on the campus to another location on the campus.,"""It is possible to navigate from one campus location to another without specifying a starting street, using only the destination as input.""",0,0,1,0,0,0,0
659,It is possible to navigate from a street on the campus to another location on the campus.,"When the user is navigating from one street on the campus to another location on the campus, the navigation system shall display the route in a monochrome grayscale colour scheme.",0,0,0,0,0,0,1
660,It is possible to navigate from an POI on the campus to another location on the campus.,"When the status of a POI on the campus is ""under maintenance"", the navigation system shall display such a POI in grey.",0,0,0,0,1,0,0
661,It is possible to navigate from an POI on the campus to another location on the campus.,"The system shall restrict navigation between campus POIs exclusively to users with a verified STAFF or FACULTY key, treating all other user types as visitors with access to predefined public routes only.",1,0,0,0,0,0,0
662,It is possible to navigate from an POI on the campus to another location on the campus.,It is possible to navigate from a POI on the campus to another location on the campus only along pre-defined pedestrian pathways.,0,0,0,0,0,1,0
663,It is possible to navigate from an POI on the campus to another location on the campus.,"If the user selects a POI, the system shall require the user to specify the destination coordinates in latitude and longitude before any navigation can be initiated.",0,0,1,0,0,0,0
664,It is possible to open calendar view.,"When a new calendar view is opened, the OPENCOSS platform shall display all dates in a monochrome grey colour scheme.",0,0,0,0,0,0,1
665,It is possible to pan when in the map view.,"The THEMAS system shall recognize a panning event within 1 second of P > 0 being detected, and this recognition shall occur only once per continuous panning action.",0,1,0,0,0,1,0
666,It is possible to pan when in the map view.,The OPENCOSS platform must provide users with the ability to pan when in the map view only once.,0,0,0,0,0,1,0
667,It is possible to pan when in the map view.,If P > 0 then the THEMAS system shall recognize this condition as a panning event has been initiated.,0,1,0,0,0,0,0
668,It is possible to search a person by department.,"When the search results for a person by department are displayed, the OPENCOSS platform shall colour any person whose role is ""auditor"" in blue.",0,0,0,0,1,0,0
669,It is possible to search a person by department.,"""It is possible to search a person by department, and the platform shall display the results in a monochrome grey-scale theme.""",0,0,0,0,0,0,1
670,It is possible to search a person by name.,The THEMAS system shall only accept a person's unique 9-digit National ID number as a valid search input.,0,0,1,0,0,0,0
671,It is possible to search a person by name.,"It is possible to search a person by name, and the search results shall be displayed without highlighting any of the results.",0,0,0,0,0,0,1
672,It is possible to search a person by name.,"""It is possible to search for a person by name, and the search results shall be displayed in a monochrome grey scale.""",0,0,0,0,0,0,1
673,It is possible to search for a certain building on the campus of the TU/e by address.,"When the system returns search results for a building on the campus of the TU/e, the system shall display the building name but hide its address.",0,0,0,0,1,0,0
674,It is possible to search for a certain building on the campus of the TU/e by address.,"When the building search function is initiated, the THEMAS system shall require a unique building ID code from the central facilities database and will not proceed without this numeric identifier.",0,0,1,0,0,0,0
675,It is possible to search for a certain building on the campus of the TU/e by address.,"""When the address of a building on the TU/e campus is not found in the search results, the system shall display a blank map.""",0,0,0,0,0,0,1
676,It is possible to search for a certain building on the campus of the TU/e by name.,"When the search for a building on the campus of the TU/e by name yields no results, the system shall display the message ""No buildings found.""",0,0,0,0,1,0,0
677,It is possible to search for a certain building on the campus of the TU/e by name.,"It is possible to search for a certain building on the campus of the TU/e by its unique building code, which is a mandatory field.",0,0,1,0,0,0,0
678,It is possible to search for a certain building on the campus of the TU/e by name.,"If the building search function is invoked, the system shall select all buildings from the master database, sort the entries alphabetically by street address, and generate a complete list in a PDF document.",0,0,1,0,0,0,0
679,It is possible to search for a certain building on the campus of the TU/e by name.,"When the search for a building on the campus of the TU/e by name yields no results, the system shall display an empty, white results page.",0,0,0,0,0,0,1
680,It is possible to search for a certain POI on the campus of the TU/e by name.,It is possible to search for a certain POI on the campus of the TU/e by name only once per session.,0,0,0,0,0,1,0
681,It is possible to search for a certain POI on the campus of the TU/e by name.,"If the campus map view is selected, the TU/e navigation system shall use the device's current GPS coordinates to automatically display all POIs within a 500-meter radius.",0,0,1,0,0,0,0
682,It is possible to search for a certain POI on the campus of the TU/e by name.,"When the search for a POI by name on the campus of the TU/e yields no results, the system shall display the result list as empty without any further notification.",0,0,0,0,0,0,1
683,It is possible to search for a certain POI on the campus of the TU/e by name.,"When the name of a POI being searched for on the campus of the TU/e is not found in the system, the platform shall display the search results list as blank.",0,0,0,0,0,0,1
684,It is possible to search for events by date.,"If the daily operational summary is selected, the THEMAS system shall automatically use the current system date to query the event database and display the results.",0,0,1,0,0,0,0
685,It is possible to search for events by subject.,"When the subject of an event is ""confidential"", the system shall prevent such an event from appearing in any search results.",0,0,0,0,1,0,0
686,It is possible to search for events by subject.,"If the subject search is initiated, the system shall process the search by first prompting the user to select a date range, and the search shall return no results until both a start and end date have been specified.",0,0,1,0,0,0,0
687,It is possible to search the book by a certain word or phrase.,The THEMAS system shall process search requests only when a predefined list of searchable keywords is provided.,0,0,1,0,0,0,0
688,It is possible to search the book by a certain word or phrase.,"If the book search function is invoked, the system shall perform a full-text index scan of the entire library database, compile a list of all unique words, and then export the complete lexicon to an XML file.",0,0,1,0,0,0,0
689,It is possible to search the book by a certain word or phrase.,"When the user searches for a book by a certain word or phrase and no results are found, the system shall display an empty results page with no additional feedback.",0,0,0,0,0,0,1
690,It is possible to switch between different means of transportation in the navigator.,The navigator must restrict the ability to switch between different means of transportation to only once per planned route.,0,0,0,0,0,1,0
691,It is possible to switch between different means of transportation in the navigator.,"If the route calculation is initiated, the navigator shall lock in the initially selected means of transportation for the entire journey and prevent any switching until the destination is reached.",0,0,1,0,0,0,0
692,It is possible to switch between stylistic map view and satellite map view.,The application must prevent users from switching between the stylistic map view and the satellite map view after the initial selection.,0,0,0,0,0,1,0
693,It is possible to switch between stylistic map view and satellite map view.,"When the user is viewing the stylistic map view, the OPENCOSS platform shall display all satellite imagery tiles in greyscale.",0,0,0,0,0,0,1
694,It is possible to view all personal info available through the employee pages of a person in the search result set of requirement UCAR503.,"When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in blue.",0,0,0,0,1,0,0
695,It is possible to view all personal info available through the employee pages of a person in the search result set of requirement UCAR503.,"When a person is displayed in the search result set of requirement UCAR503, the OPENCOSS platform shall hide all of their personal information.",0,0,0,0,1,0,0
696,"It is possible to view an element from the search result described in UCAR201, UCAR202 and UCAR203 in the map view.","When an element from the search result is displayed in the map view, the OPENCOSS platform shall colour such an element in green.",0,0,0,0,1,0,0
697,"It is possible to view an element from the search result described in UCAR201, UCAR202 and UCAR203 in the map view.","When an element from the search result described in UCAR201, UCAR202 and UCAR203 is displayed in the map view, the OPENCOSS platform shall colour such an element in red.",0,0,0,0,1,0,0
698,It is possible to zoom when in the map view.,"When the user performs a pinch gesture on the touchscreen, the system shall interpret this as a command to adjust the font size of all displayed text elements.",0,0,1,0,0,0,0
699,It must allow a user to download a backup of their medical information.,The system shall restrict backup downloads of medical information to administrative users holding the SYSADMIN key only.,1,0,0,0,0,0,0
700,It must allow a user to download a backup of their medical information.,The system must restrict a user from downloading a backup of their medical information more than once per calendar month.,0,0,0,0,0,1,0
701,It must be able to download the most recent medical record.,The system must restrict the download of a medical record to only the most recent version that is at least 30 days old.,0,0,0,0,0,1,0
702,It must be able to download the most recent medical record.,"If a medical record download is initiated, the system shall require the user to manually specify the exact date range of the records to be retrieved before proceeding.",0,0,1,0,0,0,0
703,It must store the most recent copy of information in its application data folder.,"If the user selects the option to export a data summary, the system shall retrieve the information directly from the remote cloud server and generate the report file.",0,0,1,0,0,0,0
704,It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,"The system shall restrict the association of a public identity to a single, designated CND, which is permanently linked to a single private identity.",1,0,0,0,0,1,0
705,It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,"Public identity association shall be valid only for the first session, afterward reassignment is automatically allowed.",1,0,0,0,0,1,0
706,It shall be possible for a single public identity to be associated with multiple CNDs where each association is allocated a unique private identity.,It shall be possible for the association between a public identity and a CND to be established only once and be immutable thereafter.,0,0,0,0,0,1,0
707,It shall be possible to configure the CNG (e.g. firmware downloading) according to the subscribed services. This operation may be performed when the CNG is connected to the network for the first time for each new service subscription/modification or for any technical management (e.g. security patches etc.).,"The configuration of the CNG (e.g., firmware downloading) according to the subscribed services may only be performed once, during the initial network connection, and cannot be modified thereafter.",0,0,0,0,0,1,0
708,It shall then read the current temperature values and current temperature settings of each thermostat.,The system shall define the current temperature values and settings for each thermostat only after receiving a manual refresh command from the user.,0,1,0,0,0,0,0
709,It shall then read the current temperature values and current temperature settings of each thermostat.,"If the operational history report is selected, the THEMAS system shall select all the events from the event database using the event priority level, sort the events by priority, and create the ASCII report file.",0,0,1,0,0,0,0
710,It should be possible for more than one identity to be associated with a single CPN subscription.,"The system shall ensure that only the primary account holder, as verified by a government-issued ID, can be associated with a single CPN subscription.",1,0,0,0,0,0,0
711,It should be possible for more than one identity to be associated with a single CPN subscription.,It should be possible for only one identity to be associated with a single CPN subscription.,0,0,0,1,0,0,0
712,It should generate a report about registered complaint to the admin and response report to the user who has submitted his queries.,"The system shall restrict access to all complaint and query reports exclusively to users with the ADMIN role, preventing any other user type from viewing or generating them.",1,0,0,0,0,1,0
713,It should generate a report about registered complaint to the admin and response report to the user who has submitted his queries.,The platform must provide admins with the ability to generate a report about registered complaints only before any user response has been submitted.,0,0,0,0,0,1,0
714,It should generate a report about registered complaint to the admin and response report to the user who has submitted his queries.,"Complaint and query report access shall be allowed only once every hour, even for ADMIN users.",1,0,0,0,0,1,0
715,Keep track of all the payment transactions made by the customers and update the payment information.,The system shall allow only users with the PAYMENT_ADMIN key to be viewed as an authorized finance user and has full access privileges to all payment transaction data.,1,0,0,0,0,0,0
716,Keep track of all the payment transactions made by the customers and update the payment information.,The system must allow administrators to update the payment information for a customer transaction only during the initial 24-hour period following its creation.,0,0,0,0,0,1,0
717,Keep track of each product item stocks for selling purpose.,"The system shall only require a product's SKU to update its stock level, automatically inferring the necessary inventory adjustments from point-of-sale terminal data.",0,0,1,0,0,0,0
718,LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present e.g.: wireless LAN Wi-Fi Alliance certified Powerlines Plastic Optical Fiber USB device and/or host one or more FXS for analog telephony DECT Cat-iq.,"When a LAN interface on the CNG is active and transmitting data, the device shall display the status of that interface using a green indicator light.",0,0,0,0,1,0,0
719,LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present e.g.: wireless LAN Wi-Fi Alliance certified Powerlines Plastic Optical Fiber USB device and/or host one or more FXS for analog telephony DECT Cat-iq.,"If the device status report is selected, the CNG shall query all connected interfaces, sort the interfaces by type and connection speed, and generate the status data exclusively via the USB host interface.",0,0,1,0,0,0,0
720,LAN interfaces. The CNG shall be equipped with at least one Ethernet (minimum 100 Mbit/s) is interface. Optional interfaces could be present e.g.: wireless LAN Wi-Fi Alliance certified Powerlines Plastic Optical Fiber USB device and/or host one or more FXS for analog telephony DECT Cat-iq.,"If the active network interface is selected, the CNG shall automatically deactivate all other physical and wireless LAN interfaces to ensure a single, dedicated data path.",0,0,1,0,0,0,0
721,Load devices that are available to the general public should support multiple sources of funding and support both linked and unlinked loads,"When a load device that is available to the general public is activated, the system shall accept a single, pre-registered funding source and process the load request immediately without requiring any user selection or input regarding funding type.",0,0,1,0,0,0,0
722,Load devices that are available to the general public should support multiple sources of funding and support both linked and unlinked loads,"Load devices that are available to the general public must restrict the funding source configuration to a single, pre-defined method that cannot be modified after initial device setup.",0,0,0,1,0,0,0
723,Media flows (data plane) transcoding shall be performed by STB or media gateway and not by the CNG.,The system shall perform media flow (data plane) transcoding in the Core Network Gateway (CNG) and not in the STB or media gateway.,1,0,0,0,0,0,0
724,Media flows (data plane) transcoding shall be performed by STB or media gateway and not by the CNG.,The system shall perform all media flow (data plane) transcoding centrally within the CNG and not by the STB or media gateway.,1,0,0,0,0,0,0
725,Media flows (data plane) transcoding shall be performed by STB or media gateway and not by the CNG.,The STB or media gateway must not perform media flow (data plane) transcoding until it receives explicit authorization from the CNG for each session.,0,1,0,0,0,0,0
726,"Mobile application - Free-text search DESC: A user should be able to conduct a search by providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in a map view by default.",Mobile application - Free-text search DESC: The results of a free-text search must be presented in a vertically scrollable list view by default.,0,0,0,0,1,0,0
727,"Mobile application - Free-text search DESC: A user should be able to conduct a search by providing either restaurant name, restaurant description, restaurant address, restaurant type or restaurant menu in the free-text search field. The result is displayed in a map view by default.","If the user initiates a free-text search, the application shall only process input that is a recognized restaurant name from the pre-approved directory and ignore all other text in the search field.",0,0,1,0,0,0,0
728,"Mobile application - Navigation to restaurant DESC: A user should be able to select a pin on a map or an element on a list. When a selection is made, the location of the restaurant should be sent to the mobile phone??®¶a??a??®¶s GPS-navigation program. The user should then be navigated to the destination. When the destination is reached, a user should be able to go back to the search page on the mobile application.","If a navigation session is active and the user manually closes the mobile phone's GPS-navigation program, then the mobile application shall recognize this condition as the user has canceled the navigation.",0,1,0,0,0,0,0
729,"Mobile application - Navigation to restaurant DESC: A user should be able to select a pin on a map or an element on a list. When a selection is made, the location of the restaurant should be sent to the mobile phone??®¶a??a??®¶s GPS-navigation program. The user should then be navigated to the destination. When the destination is reached, a user should be able to go back to the search page on the mobile application.","""The mobile application shall receive the restaurant's destination coordinates exclusively from a voice command input by the user, and shall not process selections made from the map or list.""",0,0,1,0,0,0,0
730,Mobile application - No match found DESC: If no match is found the user should be informed but kept on the search page in order to get the possibility to conduct a new search right away.,"When a search in the mobile application returns no results, the application shall automatically navigate the user back to the home screen.",0,0,0,0,1,0,0
731,"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French.","The system shall allow an administrator to modify a user's profile information, including email address, phone number, and application language, without requiring the user's current password.",1,0,0,0,0,1,0
732,"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French.",The mobile application must allow a user to modify their selected application language only once after the initial profile setup.,0,0,0,0,0,1,0
733,"Mobile application - Profile page DESC: On the mobile application, a user should have a profile page. On the profile page a user can edit his/her information, which includes the password, e-mail address and phone number. A user should also be able to choose what language the mobile application should be set to. The different language choices are Swedish, English, Spanish and French.","Profile modifications by an administrator shall be allowed only within 30 seconds of login, afterwards blocked.",1,0,0,0,0,1,0
734,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.","When the user performs a search by destination, the mobile application shall display the results in a list format by default.",0,0,0,0,1,0,0
735,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.","The user shall not be permitted to input a minimum or maximum distance; instead, the application shall automatically determine and display all destinations within a fixed, non-configurable 15 km radius.",0,0,1,0,0,0,0
736,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.",The mobile application must restrict users from modifying the default minimum and maximum search distance values once the initial search has been executed.,0,0,0,0,0,1,0
737,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.","Mobile application - Search by destination DESC: The search results shall be displayed as a list sorted by distance, with the closest destinations shown first, and this list view shall be the only available display option.",0,0,0,0,1,0,0
738,Mobile application - Search by price DESC: A user should be able to input a maximum and a minimum price range. The result is displayed in a list view by default.,"When the user searches for products by price range in the mobile application, the platform shall display the results in a grid view by default.",0,0,0,0,1,0,0
739,Mobile application - Search by price DESC: A user should be able to input a maximum and a minimum price range. The result is displayed in a list view by default.,"When the user searches by price, the mobile application shall display the results in a grid view by default.",0,0,0,0,1,0,0
