ID,Original_FR,Conflicting_FR,Label
176,"If the system detects an invalid temperature, Generate_Alarm_Data shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor?‘s computer.",Generate_Alarm_Data shall output 1000 Hz constant tone instead of 500/700 Hz alternating signal.,Output Conflict
177,"If the system detects an invalid temperature, Generate_Alarm_Data shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor’s computer.",Generate_Alarm_Data shall output no alarm signal for invalid temperature.,Output Conflict
178,"if the system unable to update the location , Show failure msg and return the user to home page.",The system shall silently fail and remain on the current page without any message.,Operation Conflict
179,"If the user denies to use the location service , prompt the user to home screen",The system shall ignore the denial and continue using location services without prompting.,Operation Conflict
180,"If there is a network issue, the chat window will display an error message.",The chat window shall remain blank and show no message during a network issue.,Output Conflict
181,"If there is a network issue, the chat window will display an error message.",The chat window shall remain blank during a network issue.,Output Conflict
182,"If there was an error here, then the unit failed to create a generic answer given a generic sentence. In this case, simply fallback to the error handling described in R4.4.2.1","The system shall attempt to generate a generic answer even after an error occurs, ignoring fallback procedures.",Operation Conflict
183,"If user allows location service , create the user",The system shall not create a user even if location service is allowed.,Operation Conflict
184,"If user within 1 mile of the campus , update location",The system shall not update user location even if within 1 mile of campus.,Operation Conflict
185,"In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal shall output the status information of the heating or cooling unit.","In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal should output the status information of the heating unit.",Output Conflict
186,"In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, Generate_H/C_Signal shall output the status information of the heating or cooling unit.","Generate_H/C_Signal shall output only the heating unit status, ignoring the cooling unit.",Output Conflict
187,"In this case, the user can approve the exchange that is offered by another user by clicking Approve button.","If the exchange approval request is selected, the system shall require the user to manually enter the exchange ID and confirmation code before enabling the ""Approve"" button.",Input Conflict
188,"In this case, user enters his/her username or email and his/her password and logs in the system.",The user shall log in to the system using a one-time passcode delivered via SMS to their registered mobile number.,Input Conflict
189,It is possible to navigate from a building on the campus to a POI on the campus.,"When the ""Navigate to POI"" function is initiated, the system shall require the user to manually input the GPS coordinates for both the starting building and the destination POI before calculating the route.",Input Conflict
190,It is possible to navigate from a POI on the campus to a building on the campus.,"If the building destination is selected, the navigation system shall use the building name as the primary input, query the campus database, and calculate the optimal route.",Input Conflict
191,It is possible to navigate from a POI on the campus to a POI on the campus.,"When the navigation request is initiated, the system shall require the user to select both a starting building name and a destination building name to proceed.",Input Conflict
192,It is possible to search a person by department.,"""The system shall only accept a personnel ID number as the sole input for any search function.""",Input Conflict
193,It is possible to search a person by name.,The search function shall accept only a unique personnel identification number as the input criteria.,Input Conflict
194,It is possible to search for a certain building on the campus of the TU/e by address.,"""The system shall search for a building by its unique internal building code, which is generated upon its addition to the campus database.""",Input Conflict
195,"Mobile application - Search by destination DESC: A user should be able to input a maximum and a minimum distance, according to his/her position. By default the minimum distance is set to 0 km and the maximum to 10 km. The user should be able to input a higher or lower maximum distance and a higher minimum distance than set by default. The result is displayed in a map view by default.","""Mobile application - Search by destination DESC: A user should be able to input a specific destination name or address. The system shall ignore any distance parameters and search exclusively for locations matching the provided destination text. The result is displayed in a list view by default.""",Input Conflict
196,Once the icon is selected two open text field will be available to the user to search for the product name - by product ID/SKU or by keyword.,"Once the icon is selected, the THEMAS system shall automatically populate the search fields using the user's last search criteria and execute the search without requiring manual input.",Input Conflict
197,Problems entered on the encounter form by clerical personnel shall be left as UNVERIFIED.,Problems entered on the encounter form by clerical personnel shall be left as UNSIGNED.,Output Conflict
198,Problems entered on the encounter form by clerical personnel shall be left as UNVERIFIED.,Problems entered on the encounter form by clerical personnel shall be left as UNSIGNED.,Output Conflict
199,Product formulas shall allow use of semi-products which have own formulas.,Product formulas shall only use raw materials as input and shall not allow the use of semi-products.,Input Conflict
200,Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.,The THEMAS system shall only accept the addition of students to a cohort via an uploaded .CSV file containing the complete student roster.,Input Conflict
201,Required information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user-name And password And address And e-mail address And phone number Then the restaurant owner should be able to apply for verification,"""Required information for registration Given the restaurant owner wants to create an account And the restaurant owner does not have an account When the restaurant owner registers on the web-portal by providing user-name And password And business license number Then the restaurant owner should be able to apply for verification.""",Input Conflict
202,System will allow customers to pay for a streaming movie with a pre-paid card.,The system shall accept payment only via a credit or debit card entered at the time of the streaming transaction.,Input Conflict
203,The administrator can add vertices of a path which is used in the route planner.,"If the administrator is adding a path vertex, the system shall require all vertex coordinates to be manually entered via a formatted text file upload.",Input Conflict
204,The audit report shall include the total number of recycled parts used in the estimate.,The THEMAS system shall generate the audit report using only the parts data from the primary supplier database.,Input Conflict
205,The client will send a GET request to the Web API with the question as a URL parameter The client will specify the header Content-Type: application/json in their requests as convention. A valid API query is a single URL parameter containing one sentence that is a question in standard English.,The client will send a POST request to the Web API with the question in the request body. The client must specify the header Content-Type: application/json and the request body shall be a JSON object containing a single key "question" with the value being the question in standard English. A valid API query is a JSON payload and URL parameters are not accepted.,Input Conflict
206,The Disputes System will provide the user the ability to create or initiate a ticket retrieval request. As part of ticket retrieval creation process the system must prompt the user to enter all the required information to create the ticket retrieval request. The ticket retrieval request is a document that is sent to merchant inquiring the validity of a transaction.,"If the user selects the quick retrieval option, the Disputes System shall automatically generate a ticket retrieval request using default values for all required fields and submit it to the merchant without prompting the user for any information.",Input Conflict
207,The feature of the application shall provide the optimized route for the given addresses,The route optimization feature shall require the user to select a specific vehicle type and input a maximum acceptable toll cost before calculating the route.,Input Conflict
208,The from-location can be searched by the address of a building.,The from-location shall be selected from a pre-defined list of available depots.,Input Conflict
209,The from-location can be searched by the name of a building.,The from-location shall be determined exclusively by the GPS coordinates provided by the user's device.,Input Conflict
210,The from-location can be searched by the name of a POI.,"""The from-location can be searched by the name of a POI or by entering its precise latitude and longitude coordinates.""",Input Conflict
211,The from-location is selected from the search result described in UCAR211 and UCAR212.,The from-location is entered manually by the user in a free-text field and must be validated against a pre-approved master location list before the search is initiated.,Input Conflict
212,The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,The IQA subsystem shall take into account the forecasted demand for all products and adjust inventory of substitutionary ingredients accordingly.,Input Conflict
213,The leads washing functionality shall receive a period list of available reps from the enterprise system.,"""The leads washing functionality shall receive a list of available reps from the local sales management system.""",Input Conflict
214,The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,"The leads washing functionality shall process the lead data without requiring the original lead details, using only a unique transaction identifier provided by the vendor.",Input Conflict
215,The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,"If the leads washing functionality is selected, the system shall use the parameters supplied by the regional sales teams and partners to score the entire lead.",Input Conflict
216,The maximum number of concurrently running units shall be read from the initialization file and stored in the THEMAS system.,The maximum number of concurrently running units must be read from the initialization file and replicated in the THEMAS system.,Operation Conflict
217,The OPENCOSS platform must provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project only once.,The OPENCOSS platform shall provide users with the ability to modify the intermediate nodes in the tree-view for display of the evidence items of an assurance project.,Restriction Conflict
218,The OPENCOSS platform shall be able to automatically associate an artefact in an external tool to an evidence item of an assurance project imported from the external tool.,The OPENCOSS platform must be able to automatically indicate the tool that stores the artefact associated to an evidence item of an assurance project imported from external tool.,Operation Conflict
219,The OPENCOSS platform shall provide users with the choice to drop evidence traceability links of an assurance project.,The OPENCOSS platform shall provide users with the ability to drop evidence traceability links of an assurance project.,Operation Conflict
220,The product shall display a map of the company building showing conference room locations.,"When the user requests the map of the company building, the system shall require the user to input a specific conference room number to proceed.",Input Conflict
221,The product shall display room equipment according to search parameters.,"The system shall display room equipment from a pre-defined, static list and ignore all user-provided search parameters.",Input Conflict
222,The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a dynamic summary report.,Output Conflict
223,The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report.,The supervisor’s interface shall provide a mechanism to select between an operational history report or a dynamic summary report.,Output Conflict
224,The system shall allow clinicians to create patient lists for who can sign or cosign for each other.,The system shall only allow clinicians to create patient lists for who can sign or cosign for each other.,Restriction Conflict
225,The system shall allow concurrent membership in more than one User Class.,The system shall allow membership in only one User Class.,Operation Conflict
226,The system shall allow document types to inherit authorizations from a higher level when using classes to assign roles.,The system shall allow document types to inherit authorizations from other levels when using classes to assign roles.,Restriction Conflict
227,The system shall allow infinite hierarchies of subclasses to be created in the User Hierarchy Class structure.,The system shall allow 100 hierarchies of subclasses to be created in the User Hierarchy Class structure.,Restriction Conflict
228,The system shall allow physician offices to use social security numbers or medical record numbers to identify patients.,The system shall allow physician offices to only use social security numbers to identify patients.,Restriction Conflict
229,The system shall allow several orders to be placed with the ability for a user to sign for them all at once.,The system must allow several orders to be placed with the ability for a user to sign for them all at once.,Restriction Conflict
230,The system shall allow user classes to be used across VistA to replace and/or complement security keys.,The system shall not allow user classes to be used across VistaA to replace and/or complement security keys.,Operation Conflict
231,The system shall allow users to enter time in several different formats.,"The system shall require times to be entered as a 24-hour time, not with a 12-hour clock and an a.m. and p.m.",Input Conflict
232,The system shall allow users who hold any of the ORES/ORELSE/PROVIDER keys to be viewed as a clinical user and has full access privileges to all problem list options.,The system shall only allow clinical users to have full access privileges to all problem list options.,Agent Conflict
233,"The system shall check ICD and CPT code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.","The system shall only check ICD code validity as of a specified date when codes are entered, when a new code set is implemented, and whenever CACs or IRM personnel choose to run the option.",Input Conflict
234,The system shall delete history of received immunizations.,The system shall only delete history of recieved immunizations unless user specifies,Restriction Conflict
235,The system shall display a box listing possible matches if CPRS finds more than one patient with the same last name and same last four digits of the social security numbers.,The system shall display a message of possible matches if more than one match is found when a user partially enters a patient's name and last four digits of a social security number.,Event Conflict
236,The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,"If the inventory adjustment is initiated manually, the System shall generate the Inventory Quantity Adjustment document based on user-input scrap and loss values from the daily production log.",Input Conflict
237,The system shall improve efficiency of entering orders.,The system shall improve efficiency of entering orders by atleast 20 percent.,Restriction Conflict
238,The system shall include Standard Laboratory and Medication orderable files.,The system shall include non-Standard Laboratory and Medication orderable files.,Restriction Conflict
239,The system shall indicate that the record is sensitive and may only be viewed by authorized users.,The system shall indicate that a record is sensitive and may only be viewed by authorized users only if the user is not authorized.,Event Conflict
240,The system shall locate the preferred repair facility with the highest ratings for the input criteria,"""The system shall locate the preferred repair facility using only the pre-configured default criteria, ignoring any user-inputted rating preferences.""",Input Conflict
241,The system shall mimic traditional order entry processes where necessary to accommodate established clinical practices.,The system shall make the traditional order entry processes more practical.,Operation Conflict
242,The system shall not allow mandatory notifications to be disabled.,The system shall allow users to disable unwanted notifications as desired.,Operation Conflict
243,The system shall not release orders to services or activated until they are signed if they require a signature.,The system shall have a option to release unsigned orders to services,Restriction Conflict
244,"The system shall require a smart card reader, smart card, and a PIN to digitally sign an order.",The system shall require only a smart card to digitally sign an order.,Input Conflict
245,The system shall require a user to review and sign changed if a user has just entered orders or documents that are unsigned.,The system shall only require a user to review and sign changed if a user has just entered orders or documents that are unsigned.,Restriction Conflict
246,The system shall require the entry of an access code and a verify code to gain access to the system.,The system shall require the entry of an access code to gain access to the system.,Input Conflict
247,The system shall require the user to have access to the Clinical Coorindator menu in the List Manager Interface to assign CPRS tab access.,The system shall require the user to have access to the List Manager Interface to assign CPRS tab access.,Input Conflict
248,"The system shall retain notifications for a predetermined amount of time (up to 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.","The system shall retain notifications for a predetermined amount of time (more than 30 days), after which they may be sent to another destination, such as your MailMan surrogate or your supervisor.",Restriction Conflict
249,The system shall support the requirements for codified data specified by the DOQ-IT quality improvement measures.,The system shall support the requirements for all codified data ,Restriction Conflict
250,The system shall update diagnostic and procedure codes used for billing purposes so codes are applicable at the time the service was provided.,The system shall only update diagnostic used for billing purposes so codes are applicable at the time the service was provided.,Input Conflict
251,The system shall use HL-7 communications protocol for transferring messages among packages.,The system shall use any protocol for transferring messages among packages.,Restriction Conflict
252,The system shall wait until the user explicitly selects an item using the mouse or the keyboard if the user does not enter enough characters to uniquely identify an item.,The system shall select the item at the top of the list if the user does not enter enough characters to uniquely identify an item.,Operation Conflict
253,The system's design shall follow hospital work flow patterns and allow local site and individual customization to make it fit specific needs.,The system's design shall follow hospital work flow patterns while minimizing individual customization in order to make the system similar across practises.,Restriction Conflict
254,The THEMAS system shall compare the reported temperature value to the temperature setting and detect when the temperature value exceeds the specified limits.,The THEMAS system must compare the reported temperature values to the temperature setting and detect when the temperature value exceeds the specified limits.,Restriction Conflict
255,"The themas system shall process two types of temperature data, the temperature setting and current temperature",The themas system shall only process current temperature,Operation Conflict
256,The THEMAS system shall record each event by a description and the current system time for that event.,The THEMAS system should record each event by a description for that event.,Operation Conflict
257,The to-location can be searched by the name of a building.,The to-location must be specified by scanning a QR code at the designated drop-off point.,Input Conflict
258,The user can select a topic from the search result list.,The user can select a topic from the search result list only by entering the corresponding topic ID into a command line interface.,Input Conflict
259,The user shall search for the preferred repair facility using vehicle vehicle location and radius in miles,"""The user shall search for the preferred repair facility using the vehicle's VIN and the make/model of the vehicle.""",Input Conflict
260,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off all the units,This process shall first determine a known state of all the heating and cooling units by issuing a request to turn off any unit,Operation Conflict
261,"This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on.","This system event shall consist of a description of the event type (a request denied event),  and a designation of the heating or cooling unit that was not turned on.",Output Conflict
262,"This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on.","This system event shall consist of a description of the event type (a request denied event) and only the heating or cooling unit designation, omitting the thermostat information.",Output Conflict
263,"This unit will receive a text string from the URL parameter. 1 This unit will identify important words in the sentence and replace them with generic representations preceded by an escape character. (example:  ??PISB  becomes  ??$building )  1This unit will output the sentence as a string, as described in R4.  1This unit will output a map of generic representations to the words they replaced.","If the user query contains the text string as a URL-encoded form parameter in the request body, the unit shall parse the form data, extract the text string, and perform the substitution process.",Input Conflict
264,This unit will receive as input a generic answer from the Generic Answer Construction unit,"If the generic answer is unavailable, the unit shall source a default response template from the local configuration database.",Input Conflict
265,This unit will receive as input a mapping from the Generic Question Construction unit,This unit will receive as input a formatted query object from the Natural Language Parser unit.,Input Conflict
266,user can add the items he/she likes to his cart by touching a Add to the carta button.,The system shall add items to the user's cart only after the user has long-pressed the item image for three seconds.,Input Conflict
267,"user enters his/her username or email and his/her password and logs in the
system",The user shall log in to the system using a one-time passcode sent to their registered mobile device.,Input Conflict
268,"User registration - Mobile application DESC: Given that a user has downloaded the mobile application, then the user should be able to register through the mobile application. The user must provide user-name, password and e-mail address. The user can choose to provide a regularly used phone number.","""User registration - Mobile application DESC: Given that a user has downloaded the mobile application, then the user should be able to register through the mobile application. The user must provide user-name, password, and regularly used phone number. The user can choose to provide an e-mail address.""",Input Conflict
269,"When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.","When a request to turn on a heating  unit is received, the system shall determine if the request can be honored.",Event Conflict
270,"When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored.","The system shall determine request feasibility within 2 seconds, and must not honor more than one request simultaneously per heating unit.",Event Conflict，Restriction Conflict
271,"When a request to turn on or off a heating or cooling unit is made, Generate_H/C_Request shall generate the appropriate request to carry out that request.","When a request to turn off a heating or cooling unit is made, Generate_H/C_Request shall generate the appropriate request to carry out that request",Event Conflict
272,"When a request to turn on or off a heating or cooling unit is made, Generate_H/C_Request shall generate the appropriate request to carry out that request.","Generate_H/C_Request shall generate the shutdown request within 500 milliseconds, and only if the unit has been on for at least 1 second to avoid rapid toggling.",Event Conflict，Restriction Conflict
273,"When an evidence item of an assurance project contains information imported from an external tool, and the information in the OPENCOSS platform is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence item in red.","When an evidence item of an assurance project contains information imported from an external tool, and the information in the external tool is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence item in red.",Event Conflict
274,"When an evidence item of an assurance project contains information imported from an external tool, and the information in the OPENCOSS platform is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence item in red.","The OPENCOSS platform shall indicate the modification by colouring the evidence item in red within 1 second of the external tool update, and only once per modification.",Event Conflict，Restriction Conflict
275,"When an evidence traceability link of an assurance project contains information imported from an external tool, and the information in the OPENCOSS platform is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence traceability link in red.","When an evidence traceability link of an assurance project contains information imported from an external tool, and the information in the external tool is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence traceability link in red.",Event Conflict
276,"When an evidence traceability link of an assurance project contains information imported from an external tool, and the information in the OPENCOSS platform is modified, the OPENCOSS platform shall indicate such a modification by colouring the evidence traceability link in red.","The OPENCOSS platform shall colour the evidence traceability link in red no more than once every 5 seconds, regardless of multiple modifications in the external tool.",Event Conflict，Restriction Conflict
277,"When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in red.","When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in blue.",Output Conflict
278,"When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in red.","When the status of an action required in an assurance project as a result of evidence evaluation is ""pending"", the OPENCOSS platform shall colour such an action in blue.",Output Conflict
279,"When the THEMAS system detects a request for an alarm, Generate_Alarm_Data shall detect which of the two alarms are being requested.","When the THEMAS system detects a request for an alarm, Generate_Alarm_Data shall store which of the two alarms are being requested.",Operation Conflict
